CD;DOCNUM    ;PSTDAT  ;MAKTX                                  ;MENGE    ;MEINS;PARID     ;REGIO;NETWRT  
1;841994;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;83527
2;841994;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;83527
3;841994;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;83527
4;841994;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;83527
5;841995;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;56178
6;841995;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;56178
7;841995;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;56178
8;841995;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;56178
9;842183;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;2810;TO;1117827;MG   ;252900
10;842183;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;2810;TO;1117827;MG   ;252900
11;842183;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;2810;TO;1117827;MG   ;252900
12;842183;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;2810;TO;1117827;MG   ;252900
13;843886;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;7854000;KG;1119812;MG   ;534072
14;843886;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;7854000;KG;1119812;MG   ;534072
15;843886;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;7854000;KG;1119812;MG   ;534072
16;843886;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;7854000;KG;1119812;MG   ;534072
17;844923;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;6300000;KG;1119812;MG   ;428400
18;844923;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;6300000;KG;1119812;MG   ;428400
19;844923;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;6300000;KG;1119812;MG   ;428400
20;844923;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;6300000;KG;1119812;MG   ;428400
21;841045;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;15920;TO;1117827;MG   ;1273600
22;841045;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;15920;TO;1117827;MG   ;1273600
23;841045;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;15920;TO;1117827;MG   ;1273600
24;841045;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;15920;TO;1117827;MG   ;1273600
25;841096;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;24410;TO;1117827;MG   ;1952800
26;841096;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;24410;TO;1117827;MG   ;1952800
27;841096;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;24410;TO;1117827;MG   ;1952800
28;841096;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;24410;TO;1117827;MG   ;1952800
29;841654;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;13510;TO;1117827;MG   ;1080800
30;841654;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;13510;TO;1117827;MG   ;1080800
31;841654;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;13510;TO;1117827;MG   ;1080800
32;841654;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;13510;TO;1117827;MG   ;1080800
33;841662;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14970;TO;1117827;MG   ;1197600
34;841662;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14970;TO;1117827;MG   ;1197600
35;841662;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14970;TO;1117827;MG   ;1197600
36;841662;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14970;TO;1117827;MG   ;1197600
37;841735;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;16810;TO;1117827;MG   ;1344800
38;841735;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;16810;TO;1117827;MG   ;1344800
39;841735;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;16810;TO;1117827;MG   ;1344800
40;841735;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;16810;TO;1117827;MG   ;1344800
41;841962;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
42;841962;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
43;841962;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
44;841962;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
45;842061;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;15310;TO;1117827;MG   ;1224800
46;842061;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;15310;TO;1117827;MG   ;1224800
47;842061;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;15310;TO;1117827;MG   ;1224800
48;842061;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;15310;TO;1117827;MG   ;1224800
49;842478;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;25480;TO;1117827;MG   ;2038400
50;842478;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;25480;TO;1117827;MG   ;2038400
51;842478;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;25480;TO;1117827;MG   ;2038400
52;842478;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;25480;TO;1117827;MG   ;2038400
53;842578;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;27940;TO;1117827;MG   ;2235200
54;842578;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;27940;TO;1117827;MG   ;2235200
55;842578;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;27940;TO;1117827;MG   ;2235200
56;842578;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;27940;TO;1117827;MG   ;2235200
57;842672;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;10700;TO;1117827;MG   ;856000
58;842672;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;10700;TO;1117827;MG   ;856000
59;842672;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;10700;TO;1117827;MG   ;856000
60;842672;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;10700;TO;1117827;MG   ;856000
61;842842;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;16000;TO;1117827;MG   ;1280000
62;842842;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;16000;TO;1117827;MG   ;1280000
63;842842;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;16000;TO;1117827;MG   ;1280000
64;842842;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;16000;TO;1117827;MG   ;1280000
65;842936;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
66;842936;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
67;842936;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
68;842936;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
69;843368;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;13500;TO;1117827;MG   ;1080000
70;843368;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;13500;TO;1117827;MG   ;1080000
71;843368;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;13500;TO;1117827;MG   ;1080000
72;843368;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;13500;TO;1117827;MG   ;1080000
73;843445;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;24160;TO;1117827;MG   ;1932800
74;843445;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;24160;TO;1117827;MG   ;1932800
75;843445;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;24160;TO;1117827;MG   ;1932800
76;843445;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;24160;TO;1117827;MG   ;1932800
77;843464;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;15510;TO;1117827;MG   ;1240800
78;843464;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;15510;TO;1117827;MG   ;1240800
79;843464;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;15510;TO;1117827;MG   ;1240800
80;843464;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;15510;TO;1117827;MG   ;1240800
81;843525;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;14870;TO;1117827;MG   ;1189600
